epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.0729,0.27667,0.94118,1,0.11952,0.000554704,0.000554704,0.000554704
2,41.3382,0.19649,0.92157,1,0.17703,0.00108838,0.00108838,0.00108838
3,59.8716,0.17981,0.94118,1,0.14912,0.00160006,0.00160006,0.00160006
4,78.1153,0.14934,0.96078,1,0.12747,0.00156798,0.00156798,0.00156798
5,96.5718,0.12278,0.90196,1,0.24463,0.00153497,0.00153497,0.00153497
6,115.219,0.11351,0.94118,1,0.61062,0.00150197,0.00150197,0.00150197
7,134.246,0.09137,0.96078,1,0.13189,0.00146896,0.00146896,0.00146896
8,149.143,0.09434,0.98039,1,0.0755,0.00143595,0.00143595,0.00143595
9,163.678,0.10072,0.98039,1,0.07577,0.00140295,0.00140295,0.00140295
10,178.305,0.07979,0.96078,1,0.14346,0.00136994,0.00136994,0.00136994
11,196.485,0.08217,0.98039,1,0.08474,0.00133693,0.00133693,0.00133693
12,215.197,0.06468,0.96078,1,0.09251,0.00130393,0.00130393,0.00130393
13,233.802,0.05897,0.96078,1,0.12512,0.00127092,0.00127092,0.00127092
14,251.839,0.05882,0.94118,1,0.10271,0.00123791,0.00123791,0.00123791
15,270.327,0.05057,0.92157,1,0.20434,0.00120491,0.00120491,0.00120491
16,288.692,0.06333,0.96078,1,0.09275,0.0011719,0.0011719,0.0011719
17,307.621,0.0601,0.96078,1,0.06406,0.00113889,0.00113889,0.00113889
18,325.699,0.05395,0.96078,1,0.12912,0.00110589,0.00110589,0.00110589
19,343.876,0.06284,0.98039,1,0.08735,0.00107288,0.00107288,0.00107288
20,362.494,0.05467,0.96078,1,0.15559,0.00103987,0.00103987,0.00103987
21,380.889,0.05567,0.96078,1,0.06378,0.00100687,0.00100687,0.00100687
22,399.527,0.05246,0.98039,1,0.1784,0.000973861,0.000973861,0.000973861
23,417.535,0.04277,0.94118,1,0.44988,0.000940855,0.000940855,0.000940855
24,436.582,0.04329,0.96078,1,0.11687,0.000907848,0.000907848,0.000907848
25,455.653,0.04454,0.94118,1,0.48711,0.000874842,0.000874842,0.000874842
26,474.077,0.0412,0.92157,1,0.10098,0.000841835,0.000841835,0.000841835
27,493.047,0.04111,0.98039,1,0.03016,0.000808828,0.000808828,0.000808828
28,511.996,0.04405,0.94118,1,0.40793,0.000775822,0.000775822,0.000775822
29,531.029,0.04144,0.96078,1,0.09106,0.000742815,0.000742815,0.000742815
30,549.726,0.03953,0.94118,1,0.10969,0.000709809,0.000709809,0.000709809
31,568.516,0.04097,0.94118,1,0.15267,0.000676802,0.000676802,0.000676802
32,587.225,0.0302,0.92157,1,0.17311,0.000643795,0.000643795,0.000643795
33,605.94,0.03153,0.98039,1,0.17595,0.000610789,0.000610789,0.000610789
34,624.95,0.03013,0.98039,1,0.12236,0.000577782,0.000577782,0.000577782
35,643.573,0.04064,0.94118,1,0.23007,0.000544776,0.000544776,0.000544776
36,662.671,0.03001,0.96078,1,0.11231,0.000511769,0.000511769,0.000511769
37,681.651,0.02663,0.94118,1,0.27099,0.000478762,0.000478762,0.000478762
38,700.48,0.02258,0.92157,1,0.17699,0.000445756,0.000445756,0.000445756
39,719.686,0.02255,0.96078,1,0.17208,0.000412749,0.000412749,0.000412749
40,739.294,0.02564,0.96078,1,0.16141,0.000379743,0.000379743,0.000379743
41,759.362,0.01872,0.94118,1,0.34803,0.000346736,0.000346736,0.000346736
42,778.185,0.02538,0.96078,1,0.10799,0.000313729,0.000313729,0.000313729
43,797.022,0.02675,0.94118,1,0.19119,0.000280723,0.000280723,0.000280723
44,816.197,0.01896,0.96078,1,0.12983,0.000247716,0.000247716,0.000247716
45,835.011,0.01813,0.96078,1,0.13641,0.00021471,0.00021471,0.00021471
46,854.31,0.0194,0.96078,1,0.16377,0.000181703,0.000181703,0.000181703
47,873.122,0.02324,0.96078,1,0.19971,0.000148696,0.000148696,0.000148696
48,892.639,0.02003,0.96078,1,0.19603,0.00011569,0.00011569,0.00011569
49,911.731,0.01496,0.96078,1,0.22883,8.26832e-05,8.26832e-05,8.26832e-05
50,930.726,0.01797,0.96078,1,0.21927,4.96766e-05,4.96766e-05,4.96766e-05
